version,0.288,,,,,,,,,,,,,,,,
Label,Description,P_Familj,Group Name,Variable Name,Internet link,Latin,p_Smaprov,P_Stora,P_BuskarTrad,P_Barande,P_Habitat,P_hävd,P_Mossor,P_Fukt,P_KalkSilikat,P_sida_nordiskafloran,Datum införande
Tät vitmossa,,Mossor,HallMark,Tat_vitmossa,https://sv.wikipedia.org/wiki/T%C3%A4t_vitmossa,Sphagnum compactum,,,,,,,Mossor,Torr,,,
Husmossa,,Mossor,HallMark,Husmossa,https://sv.wikipedia.org/wiki/Husmossa,Hylocomium splendens,,,,,,,Mossor,,,,
Kalkmossor,,Mossor,HallMark,Kalkmossor,https://sv.wikipedia.org/wiki/Kalkmossor,Tortella,,,,,,,Mossor,,,,
Klockmossor,,Mossor,HallMark,Klockmossor,https://sv.wikipedia.org/wiki/Klockmossor,Encalypta,,,,,,,Mossor,,,,
Kopparbryum,,Mossor,HallMark,Kopparbryum,https://sv.wikipedia.org/wiki/Kopparbryum,Bryum alpinum,,,,,,,Mossor,,,,
Spjutmossa,,Mossor,HallMark,Spjutmossa,https://sv.wikipedia.org/wiki/Spjutmossa,Calliergonella cuspidata,,,,,,,Mossor,,,,
Väggmossa,,Mossor,HallMark,Vaggmossa,https://sv.wikipedia.org/wiki/V%C3%A4ggmossa,Pleurozium schreberi,,,,,,,Mossor,,,,
Cypressfläta,,Mossor,HallMark,Cypressflata,https://sv.wikipedia.org/wiki/Cypressfläta,Hypnum cupressiforme,,,,,,,Mossor,,,,
Grå raggmossa,,Mossor,HallMark,Gra_raggmossa,https://sv.wikipedia.org/wiki/Grå raggmossa,Racomitrium lanuginosum,,,,,,,Mossor,,,,
Gula raggmossor,,Mossor,HallMark,Gula_raggmossor,https://sv.wikipedia.org/wiki/Gula raggmossor,Racomitrium canescens-gr,,,,,,,Mossor,,,,
Bergraggmossa,,Mossor,HallMark,Bergraggmossa,https://sv.wikipedia.org/wiki/Bergraggmossa,Racomitrium heterostichum,,,,,,,Mossor,,,,
Grimmior med hårudd,,Mossor,HallMark,Grimmior,https://sv.wikipedia.org/wiki/Grimmior med hårudd,Grimmia,,,,,,,Mossor,,,,
Kakmossa,,Mossor,HallMark,Kakmossa,https://sv.wikipedia.org/wiki/Kakmossa,Hedwigia ciliata,,,,,,,Mossor,,,,
Takmossa,,Mossor,HallMark,Takmossa,https://sv.wikipedia.org/wiki/Takmossa,Syntrichia ruralis,,,,,,,Mossor,,,,
Bergglim,,Nejlikväxter,HallMark,Bergglim,https://sv.wikipedia.org/wiki/Bergglim,Silene rupestris,,,,,,,,Torr,,150,
Tjärblomster,,Nejlikväxter,HallMark,Tjarblomster,https://sv.wikipedia.org/wiki/Tj%C3%A4rblomster,Viscaria vulgaris,,,,,,,,Torr,,144,
Vit-/tuvknavel,,Nejlikväxter,HallMark,Vit_tuvknavel,http://linnaeus.nrm.se/flora/di/caryophylla/scler/scleper.html,Scleranthus perennis/S. annuus,,,,,,,,Torr,,142,2015-07-15
Vårspärgel,,Nejlikväxter,HallMark,Varspargel,https://sv.wikipedia.org/wiki/V%C3%A5rsp%C3%A4rgel,Spergula morisonii,,,,,,,,Torr,,143,
Backglim,,Nejlikväxter,HallMark,Backglim,https://sv.wikipedia.org/wiki/Backglim,Silene nutans,,,,,,,,,,148,
Sandnarv,,Nejlikväxter,HallMark,Sandnarv,https://sv.wikipedia.org/wiki/Sandnarv,Arenaria serpyllifolia,,,,,,,,,,128,
Smällglim,,Nejlikväxter,HallMark,Smallglim,https://sv.wikipedia.org/wiki/Sm%C3%A4llglim,Silene vulgaris,,,,,,,,,,150,
Blodnäva,,Näveväxter,HallMark,Blodnava,https://sv.wikipedia.org/wiki/Blodn%C3%A4va,Geranium sanguineum,,,,,,,,,,368,
Sparv-/mjuknäva,,Näveväxter,HallMark,Sparv_mjuknava,https://sv.wikipedia.org/wiki/Sparv-/mjukn%C3%A4va,Geranium pusillum/G. molle,,,,,,,,,,372,
Stinknäva,,Näveväxter,HallMark,Stinknava,https://sv.wikipedia.org/wiki/Stinkn%C3%A4va,Geranium robertianum,,,,,,,,,,372,
Tulkört,,Oleanderväxter,HallMark,Tulkort,https://sv.wikipedia.org/wiki/Tulk%C3%B6rt,Vincetoxicum hirundinaria,,Stor art,,,,,,,,475,
Adam och Eva,,Orkideer,HallMark,Adam_och_eva,http://linnaeus.nrm.se/flora/mono/orchida/dacty/dactlat.html,Dactylorhiza sambucina,,,,,,,,Torr,Kalk,728,
Brudbröd,,Rosväxter,HallMark,Brudbrod,https://sv.wikipedia.org/wiki/Brudbr%C3%B6d,Filipendula vulgaris,,,,,,,,Frisk,,265,
Femfingerört,,Rosväxter,HallMark,Femfingerort,https://sv.wikipedia.org/wiki/Femfinger%C3%B6rt,Potentilla argentea,,,,,,,,Torr,,296,
